switch_id,eth_dst,eth_src,eth_type,ipv4_src,ipv4_dst,in_port,packet_count,byte_count,duration_sec,idle_timeout_s,hard_timeout_s,priority
5,1,2,800,2,1,5,6052227,345410857286,119,5,0,1
1,1,2,800,2,1,3,6052227,345410857286,119,5,0,1
6,1,2,800,2,1,1,6052226,345410857212,119,5,0,1
5,1,2,800,2,1,5,6141764,350524977688,121,5,0,1
1,1,2,800,2,1,3,6141764,350524977688,121,5,0,1
6,1,2,800,2,1,1,6141763,350524977614,121,5,0,1
5,1,2,800,2,1,5,6240217,356145839290,123,5,0,1
1,1,2,800,2,1,3,6240217,356145839290,123,5,0,1
6,1,2,800,2,1,1,6240216,356145839216,123,5,0,1
5,1,2,800,2,1,5,6306780,359947781864,125,5,0,1
1,1,2,800,2,1,3,6306780,359947781864,125,5,0,1
6,1,2,800,2,1,1,6306779,359947781790,125,5,0,1
5,1,2,800,2,1,5,6413264,366026294080,127,5,0,1
1,1,2,800,2,1,3,6413264,366026294080,127,5,0,1
6,1,2,800,2,1,1,6413263,366026294006,127,5,0,1
5,1,2,800,2,1,5,6492020,370522689416,129,5,0,1
1,1,2,800,2,1,3,6492020,370522689416,129,5,0,1
6,1,2,800,2,1,1,6492019,370522689342,129,5,0,1
5,1,2,800,2,1,5,6604674,376953882636,131,5,0,1
1,1,2,800,2,1,3,6604674,376953882636,131,5,0,1
6,1,2,800,2,1,1,6604673,376953882562,131,5,0,1
5,1,2,800,2,1,5,6675758,381014580916,133,5,0,1
1,1,2,800,2,1,3,6675758,381014580916,133,5,0,1
6,1,2,800,2,1,1,6675757,381014580842,133,5,0,1
5,1,2,800,2,1,5,6784991,387250514966,135,5,0,1
1,1,2,800,2,1,3,6784991,387250514966,135,5,0,1
6,1,2,800,2,1,1,6784990,387250514892,135,5,0,1
5,1,2,800,2,1,5,6896001,393587932818,137,5,0,1
1,1,2,800,2,1,3,6896001,393587932818,137,5,0,1
6,1,2,800,2,1,1,6896000,393587932744,137,5,0,1
5,1,2,800,2,1,5,7006298,399884843772,139,5,0,1
1,1,2,800,2,1,3,7006298,399884843772,139,5,0,1
6,1,2,800,2,1,1,7006297,399884843698,139,5,0,1
5,1,2,800,2,1,5,7112227,405932046902,141,5,0,1
1,1,2,800,2,1,3,7112227,405932046902,141,5,0,1
6,1,2,800,2,1,1,7112226,405932046828,141,5,0,1
5,1,2,800,2,1,5,7224755,412356166614,143,5,0,1
1,1,2,800,2,1,3,7224755,412356166614,143,5,0,1
6,1,2,800,2,1,1,7224754,412356166540,143,5,0,1
5,1,2,800,2,1,5,7339752,418920665080,145,5,0,1
1,1,2,800,2,1,3,7339752,418920665080,145,5,0,1
6,1,2,800,2,1,1,7339751,418920665006,145,5,0,1
5,1,2,800,2,1,5,7456927,425609652174,147,5,0,1
1,1,2,800,2,1,3,7456927,425609652174,147,5,0,1
6,1,2,800,2,1,1,7456926,425609652100,147,5,0,1
5,1,2,800,2,1,5,7568684,431989350336,149,5,0,1
1,1,2,800,2,1,3,7568684,431989350336,149,5,0,1
6,1,2,800,2,1,1,7568683,431989350262,150,5,0,1
5,1,2,800,2,1,5,7679562,438319070684,152,5,0,1
1,1,2,800,2,1,3,7679562,438319070684,152,5,0,1
6,1,2,800,2,1,1,7679561,438319070610,152,5,0,1
5,1,2,800,2,1,5,7787251,444466758974,154,5,0,1
1,1,2,800,2,1,3,7787251,444466758974,154,5,0,1
6,1,2,800,2,1,1,7787250,444466758900,154,5,0,1
5,1,2,800,2,1,5,7866710,449010649212,156,5,0,1
