Step; State; Reward
130; [[0.2168 9.625  0.     0.2167 0.     0.     9.41   9.414  0.2167 0.  0.     0.     0.     0.     0.     0.    ]]; [0.]
131; [[ 0.311  10.7     0.      0.3113  0.      0.      9.28    9.29    0.3113   0.      0.      0.      0.      0.      0.      0.    ]]; [686.7424]
132; [[ 0.254 12.1    0.     0.254  0.     0.    11.67  11.66   0.254  0.   0.     0.     0.     0.     0.     0.   ]]; [998.372]
133; [[0.4453 9.72   0.     0.4458 0.     0.     9.24   9.33   0.4456 0.  0.     0.     0.     0.     0.     0.    ]]; [680.00305]
134; [[ 0.2142 11.414   0.      0.2141  0.      0.      8.93    8.914   0.2141   0.      0.      0.      0.      0.      0.      0.    ]]; [652.95013]
135; [[4.0674e-01 1.0555e+01 1.4305e-04 4.0649e-01 1.4305e-04 1.4305e-04  1.1734e+01 1.1727e+01 4.0649e-01 1.4305e-04 1.4305e-04 1.4305e-04  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [983.2814]
136; [[0.157  9.74   0.     0.1567 0.     0.     9.18   9.17   0.1567 0.  0.     0.     0.     0.     0.     0.    ]]; [645.6145]
137; [[3.955e-01 1.250e+01 1.431e-04 3.955e-01 1.431e-04 1.431e-04 1.156e+01  1.155e+01 3.955e-01 1.431e-04 1.431e-04 1.431e-04 1.431e-04 1.431e-04  1.431e-04 1.431e-04]]; [1006.04297]
138; [[ 0.2573 14.79    0.      0.2573  0.      0.     11.82   11.805   0.2573   0.      0.      0.      0.      0.      0.      0.    ]]; [1083.8046]
139; [[1.9421e-01 9.9141e+00 1.1444e-04 1.9409e-01 1.1444e-04 1.1444e-04  9.3984e+00 9.4062e+00 1.9421e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [676.16]
140; [[0.3628 9.164  0.     0.3628 0.     0.     9.39   9.375  0.3628 0.  0.     0.     0.     0.     0.     0.    ]]; [670.856]
141; [[1.8628e-01 9.7422e+00 1.1444e-04 1.8628e-01 1.1444e-04 1.1444e-04  9.3516e+00 9.3438e+00 1.8628e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [666.1918]
142; [[ 0.4639 10.61    0.      0.4636  0.      0.     11.74   11.74    0.4636   0.      0.      0.      0.      0.      0.      0.    ]]; [990.72534]
143; [[2.3523e-01 1.2094e+01 1.4305e-04 2.3523e-01 1.4305e-04 1.4305e-04  1.1625e+01 1.1625e+01 2.3547e-01 3.0136e-04 1.4305e-04 1.4305e-04  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [992.57947]
144; [[0.2507 9.53   0.     0.2507 0.     0.     9.414  9.414  0.2505 0.  0.     0.     0.     0.     0.     0.    ]]; [674.2628]
145; [[2.7686e-01 9.8672e+00 1.1444e-04 2.7710e-01 1.1444e-04 1.1444e-04  9.2812e+00 9.3125e+00 2.7710e-01 1.1444e-04 1.1444e-04 1.1444e-04  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [670.18964]
