agent, num_iperfs, port_number, original_size, transferred, retries, flow_completion_time, bandwidth, iter
B,2,46110,50,50.3,670.0,84.0,5.03,3
B,2,46110,50,50.1,570.0,85.0,4.95,2
B,2,46112,100,100.0,3590.0,104.0,8.07,4
B,2,46110,100,100.0,834.0,103.01,8.16,4
B,2,46112,100,100.0,699.0,147.0,5.72,2
B,2,46110,100,101.0,4352.0,97.0,8.7,1
B,2,46110,100,101.0,3223.0,110.0,7.67,0
B,2,46112,100,101.0,3409.0,151.0,5.61,3
B,2,46112,100,100.0,3380.0,101.0,8.31,1
B,2,46110,100,101.0,930.0,154.0,5.48,2
B,2,46110,100,100.0,1373.0,133.98,6.28,3
B,2,46112,100,100.0,1183.0,122.0,6.9,0
B,2,46112,200,200.0,19841.0,344.0,4.88,4
B,2,46110,200,200.0,8908.0,245.0,6.85,4
B,2,46112,200,200.0,16009.0,363.0,4.63,3
B,2,46110,200,201.0,16488.0,426.0,3.95,0
B,2,46110,200,200.0,17989.0,215.0,7.8,1
B,2,46112,200,201.0,22021.0,294.0,5.74,2
B,2,46112,200,201.0,19231.0,381.0,4.42,0
B,2,46110,200,201.0,14235.0,349.68,4.82,3
B,2,46110,200,200.0,13000.0,240.0,7.0,2
B,2,46112,200,201.0,21634.0,360.41,4.67,1
B,2,46112,500,501.0,32510.0,700.0,6.01,2
B,2,46110,500,500.0,36865.0,717.0,5.85,1
B,2,46110,500,501.0,47792.0,1059.0,3.97,0
B,2,46112,500,500.0,51357.0,660.08,6.36,3
B,2,46112,500,500.0,56234.0,924.0,4.54,1
B,2,46110,500,500.0,36812.0,768.0,5.46,2
B,2,46110,500,500.0,42831.0,598.0,7.02,3
B,2,46112,500,501.0,42760.0,847.0,4.96,0
B,2,46112,500,501.0,40082.0,771.0,5.45,4
B,2,46110,500,501.0,35433.0,679.65,6.18,4
B,4,46114,10,10.5,196.0,54.0,1.63,4
B,4,46114,10,10.4,304.0,88.0,0.9658203125,3
B,4,46114,10,10.2,136.0,24.0,3.56,2
B,4,46114,10,10.4,85.0,23.0,3.8,0
B,4,46114,10,10.1,153.0,34.0,2.49,1
B,4,46112,10,10.4,148.0,20.0,4.37,0
B,4,46112,10,10.0,230.0,35.0,2.4,1
B,4,46112,10,10.1,633.0,69.0,1.23,3
B,4,46112,10,10.5,191.0,20.0,4.42,2
B,4,46112,10,10.5,256.0,49.69,1.78,4
B,4,46110,10,10.5,350.0,29.72,2.96,3
B,4,46110,10,10.2,132.0,22.0,3.9,2
B,4,46110,10,10.1,14.0,14.0,6.07,0
B,4,46110,10,10.2,283.0,24.0,3.58,1
B,4,46110,10,10.3,186.0,34.0,2.54,4
B,4,46116,10,10.8,123.0,55.58,1.63,4
B,4,46116,10,10.4,50.0,25.66,3.39,0
B,4,46116,10,10.2,190.0,34.0,2.51,1
B,4,46116,10,10.5,291.0,90.69,0.9453125,3
B,4,46116,10,10.1,111.0,26.0,3.25,2
B,4,46116,50,50.5,1124.0,104.0,4.07,4
B,4,46116,50,50.3,1213.0,155.0,2.72,3
B,4,46116,50,50.2,775.0,146.0,2.89,2
B,4,46116,50,50.9,2827.0,115.96,3.68,0
B,4,46116,50,50.2,2281.0,93.0,4.53,1
B,4,46110,50,50.9,747.0,55.0,7.76,0
B,4,46110,50,50.7,4369.0,56.0,7.59,1
B,4,46110,50,50.7,586.0,71.0,5.99,3
B,4,46110,50,50.5,453.0,62.0,6.83,2
B,4,46110,50,50.3,1629.0,182.0,2.32,4
B,4,46112,50,50.3,1726.0,103.0,4.09,3
B,4,46112,50,50.4,874.0,152.0,2.78,2
B,4,46112,50,50.9,1768.0,144.0,2.96,0
B,4,46112,50,50.3,2320.0,154.0,2.74,1
B,4,46112,50,50.9,1621.0,159.0,2.68,4
B,4,46114,50,50.6,1076.0,188.0,2.26,4
B,4,46114,50,50.5,746.0,137.0,3.09,0
B,4,46114,50,51.1,2830.0,183.0,2.34,1
B,4,46114,50,50.6,2957.0,127.0,3.34,3
B,4,46114,50,51.2,534.0,158.0,2.72,2
B,4,46112,100,101.0,11681.0,312.0,2.7,1
B,4,46110,100,100.0,9086.0,230.0,3.66,2
B,4,46110,100,100.0,5966.0,291.0,2.89,3
B,4,46114,100,100.0,7485.0,279.0,3.02,4
B,4,46112,100,101.0,19065.0,337.15,2.51,0
B,4,46112,100,101.0,9807.0,293.0,2.89,2
B,4,46110,100,100.0,14482.0,276.0,3.05,1
B,4,46110,100,101.0,14814.0,107.0,7.9,0
