Step; State; Reward
0; [[0.1788 9.625  0.     0.1786 0.     0.     9.445  9.445  0.1786 9.445
121; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
122; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
123; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
124; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
125; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
126; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
127; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
128; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
129; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
130; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
131; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
132; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
133; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
134; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
135; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
136; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
137; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
138; [[3.9453e-01 1.0867e+01 1.4305e-04 3.9233e-01 1.4305e-04 1.4305e-04
  9.8438e+00 1.0016e+01 3.9429e-01 1.0016e+01 1.0016e+01 1.4305e-04
