Step; State; Reward
  1.3193e+00 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.00550581]
102; [[10.82  12.016  0.     2.203  0.     0.    13.33  11.84   0.713 10.164
  10.164  8.61   1.49   0.     0.     0.   ]]; [0.]
103; [[6.1016e+00 4.7383e+00 1.1444e-04 6.1250e+00 1.1444e-04 1.1444e-04
  1.0336e+01 9.4375e+00 5.2832e-01 5.5938e+00 5.5938e+00 1.1444e-04
  5.5938e+00 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.00406393]
104; [[6.9   3.545 0.    6.9   0.    0.    9.91  9.47  0.543 6.37  6.37  0.
  6.36  0.    0.    0.   ]]; [0.]
105; [[7.5    2.83   0.     7.51   0.     0.     9.79   9.5    0.5547 6.945
  6.945  0.     6.953  0.     0.     0.    ]]; [0.]
106; [[11.4     2.156   0.     19.89    0.      0.     21.34   11.87    0.6953
   9.98    9.98    0.      9.98    0.      9.21    0.    ]]; [0.]
107; [[ 9.49    0.5283  0.     18.77    0.      0.     18.7     9.49    0.588
   9.1     9.1     0.      9.086   0.      9.086   0.    ]]; [0.]
108; [[ 9.53     0.05774  0.      19.64     0.       0.      19.11     9.52
   0.5913   9.51     9.51     0.       9.53     0.       9.53     0.     ]]; [0.]
109; [[ 9.49     0.03467  0.      19.47     0.       0.      18.9      9.484
   0.589    9.46     9.46     0.       9.44     0.       9.44     0.     ]]; [0.]
110; [[9.531e+00 1.617e-02 0.000e+00 1.955e+01 0.000e+00 0.000e+00 1.908e+01
  9.531e+00 4.907e-01 9.531e+00 9.531e+00 0.000e+00 9.539e+00 0.000e+00
  9.539e+00 0.000e+00]]; [0.]
111; [[8.711e+00 4.684e-03 0.000e+00 1.725e+01 0.000e+00 0.000e+00 1.725e+01
  8.711e+00 3.204e-04 8.703e+00 8.703e+00 0.000e+00 8.625e+00 0.000e+00
  8.625e+00 0.000e+00]]; [0.]
112; [[9.5000e+00 1.1444e-04 1.1444e-04 1.9000e+01 1.1444e-04 1.1444e-04
  1.9000e+01 9.5000e+00 7.0419e-03 9.5000e+00 9.5000e+00 1.1444e-04
  9.5000e+00 1.1444e-04 9.5000e+00 1.1444e-04]]; [0.00495828]
113; [[9.500e+00 2.539e-03 0.000e+00 1.902e+01 0.000e+00 0.000e+00 1.900e+01
  9.500e+00 1.808e-02 9.500e+00 9.500e+00 0.000e+00 9.500e+00 0.000e+00
  9.500e+00 0.000e+00]]; [0.]
114; [[1.187e+01 1.177e-02 1.431e-04 2.373e+01 1.431e-04 1.431e-04 2.375e+01
  1.187e+01 8.640e-04 1.187e+01 1.187e+01 1.431e-04 1.187e+01 1.431e-04
  1.186e+01 1.431e-04]]; [0.00879357]
115; [[1.1773e+01 2.9678e-03 0.0000e+00 2.3594e+01 0.0000e+00 0.0000e+00
  2.3594e+01 1.1852e+01 6.4087e-04 1.1852e+01 1.1852e+01 0.0000e+00
  1.1734e+01 0.0000e+00 1.1750e+01 0.0000e+00]]; [0.]
116; [[9.3828e+00 2.4872e-03 1.1444e-04 1.8766e+01 1.1444e-04 1.1444e-04
  1.8766e+01 9.3828e+00 6.2656e-04 9.3828e+00 9.3828e+00 1.1444e-04
  9.3906e+00 1.1444e-04 9.3906e+00 1.1444e-04]]; [0.0055177]
117; [[9.531e+00 3.204e-04 0.000e+00 1.906e+01 0.000e+00 0.000e+00 1.906e+01
  9.523e+00 6.409e-04 9.531e+00 9.531e+00 0.000e+00 9.523e+00 0.000e+00
  9.523e+00 0.000e+00]]; [0.]
118; [[9.5078e+00 3.0613e-04 1.1444e-04 1.2609e+01 1.1444e-04 1.1444e-04
  1.2609e+01 9.5078e+00 2.9373e-03 9.5078e+00 9.5078e+00 1.1444e-04
  3.0957e+00 1.1444e-04 9.5078e+00 1.1444e-04]]; [0.00543018]
119; [[1.1766e+01 1.8196e-03 0.0000e+00 1.2672e+01 0.0000e+00 0.0000e+00
  1.1789e+01 1.1797e+01 8.8770e-01 1.1797e+01 1.1797e+01 0.0000e+00
  0.0000e+00 0.0000e+00 1.1789e+01 0.0000e+00]]; [0.]
120; [[9.4609e+00 1.2466e-02 1.1444e-04 1.0094e+01 1.1444e-04 1.1444e-04
  9.4922e+00 9.4766e+00 6.1475e-01 9.4688e+00 9.4688e+00 1.1444e-04
  1.1444e-04 1.1444e-04 9.4844e+00 1.1444e-04]]; [0.00494712]
121; [[ 9.49    0.2888  0.     10.11    0.      0.      9.79    9.5     0.6055
   9.46    9.46    0.      0.      0.      9.5     0.    ]]; [0.]
122; [[9.2422e+00 3.7378e-01 1.1444e-04 9.6094e+00 1.1444e-04 1.1444e-04
  9.4062e+00 9.2656e+00 5.8398e-01 9.0547e+00 9.0547e+00 1.1444e-04
  1.1444e-04 1.1444e-04 9.0312e+00 1.1444e-04]]; [0.00484182]
123; [[9.45  0.256 0.    9.8   0.    0.    9.46  9.45  0.597 9.2   9.2   0.
  0.    0.    9.2   0.   ]]; [0.]
124; [[1.1855e+00 8.1953e+00 1.1444e-04 4.0552e-01 1.1444e-04 1.1444e-04
  7.9258e+00 9.5156e+00 4.0552e-01 5.7422e+00 5.7422e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.00244882]
125; [[ 0.2654 12.164   0.      0.2654  0.      0.     11.89   11.85    0.2654
  11.6    11.6     0.      0.      0.      0.      0.    ]]; [0.]
126; [[2.1106e-01 1.1688e+01 1.1444e-04 2.1094e-01 1.1444e-04 1.1444e-04
  9.5234e+00 9.5234e+00 2.1082e-01 9.2266e+00 9.2266e+00 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.00222751]
127; [[ 0.3296 10.99    0.      0.4119  0.      0.     11.89    9.51    0.3296
   9.305   9.305   0.      0.      0.      0.      0.    ]]; [0.]
128; [[ 0.584 10.21   0.     0.584  0.     0.     9.445  9.484  0.584  9.16
   9.16   0.     0.     0.     0.     0.   ]]; [0.]
129; [[0.5166 9.72   0.     0.5225 0.     0.     9.5    9.5    0.5225 9.32
  9.32   0.     0.     0.     0.     0.    ]]; [0.]
130; [[ 0.4658 11.75    0.      0.476   0.      0.      9.51    9.51    0.4763
   9.16    9.16    0.      0.      0.      0.      0.    ]]; [0.]
131; [[0.591 9.016 0.    0.59  0.    0.    9.53  9.53  0.59  9.4   9.4   0.
  0.    0.    0.    0.   ]]; [0.]
132; [[ 0.2969 11.984   0.      0.2969  0.      0.      9.47   11.87    0.371
  11.57   11.57    0.      0.      0.      0.      0.    ]]; [0.]
133; [[0.489 9.18  0.    0.489 0.    0.    9.45  9.45  0.489 9.32  9.32  0.
  0.    0.    0.    0.   ]]; [0.]
134; [[ 0.5264 12.055   0.      0.527   0.      0.     10.41   10.445   0.527
   5.652   5.652   0.      0.      0.      0.      0.    ]]; [0.]
135; [[5.8740e-01 7.9844e+00 1.1444e-04 5.8740e-01 1.1444e-04 1.1444e-04
  9.4609e+00 9.4688e+00 5.8740e-01 1.1444e-04 1.1444e-04 1.1444e-04
  1.1444e-04 1.1444e-04 1.1444e-04 1.1444e-04]]; [0.00184088]
136; [[ 0.2141 10.57    0.      0.2161  0.      0.      9.414   9.38    0.2161
   0.      0.      0.      0.      0.      0.      0.    ]]; [0.]
137; [[4.5781e+00 1.1805e+01 4.5234e+00 4.6133e+00 1.4305e-04 1.4305e-04
  1.1852e+01 1.6266e+01 4.8477e+00 1.4305e-04 4.4219e+00 1.4305e-04
  1.4305e-04 4.4570e+00 1.4305e-04 1.4305e-04]]; [0.00681439]
138; [[ 9.38  10.52   8.805  9.44   0.     0.     9.41  18.38   9.44   0.
   9.01   0.     0.     9.     0.     0.   ]]; [0.]
139; [[1.1805e+01 1.1438e+01 1.1289e+01 1.1883e+01 1.4305e-04 1.4305e-04
  1.1820e+01 2.3281e+01 1.2320e+01 1.4305e-04 1.1516e+01 1.4305e-04
  1.4305e-04 1.1523e+01 1.4305e-04 1.4305e-04]]; [0.01147126]
140; [[11.87   5.848 14.234 11.87   0.     0.     6.04  18.1   12.41   0.
  11.875  0.     0.    11.875  0.     0.   ]]; [0.]
141; [[9.0312e+00 1.5125e+01 4.5273e+00 8.9141e+00 1.1444e-04 1.1444e-04
  6.8750e+00 1.4805e+01 8.6719e+00 4.5312e+00 1.2492e+01 1.1444e-04
  1.1444e-04 7.8789e+00 1.1444e-04 1.1444e-04]]; [0.00727402]
142; [[0.4578 8.17   0.     0.4578 0.     0.     9.46   9.45   0.4583 5.004
  5.004  0.     0.     0.     0.     0.    ]]; [0.]
143; [[3.3984e-01 1.1438e+01 1.1444e-04 3.3960e-01 1.1444e-04 1.1444e-04
  9.4219e+00 9.4219e+00 3.3960e-01 6.4819e-02 6.4819e-02 1.1444e-04
