Step; State; Reward
115; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
116; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
117; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
118; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
119; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
120; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
121; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
122; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
123; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
124; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
125; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
126; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
127; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
128; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
129; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
130; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
131; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
132; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
  1.4305e-04 1.4305e-04 1.4305e-04 1.4305e-04]]; [0.]
133; [[5.8398e-01 1.0125e+01 1.4305e-04 5.8594e-01 1.4305e-04 1.4305e-04
  1.0680e+01 1.0570e+01 5.8643e-01 1.0562e+01 1.0562e+01 1.4305e-04
