Step; State; Reward
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
137; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
138; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
139; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
140; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
141; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
142; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
143; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
144; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
145; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
146; [[ 0.4136 10.45    0.      0.4265  0.      0.     10.13   10.57    0.4646
  10.56   10.56    0.      0.      0.      0.      0.    ]]; [0.]
147; [[ 0.2717 12.53    0.      0.27    0.      0.     10.51   10.37    0.27
  10.37   10.37    0.      0.      0.      0.      0.    ]]; [0.]
148; [[ 0.2717 12.53    0.      0.27    0.      0.     10.51   10.37    0.27
  10.37   10.37    0.      0.      0.      0.      0.    ]]; [0.]
149; [[ 0.2717 12.53    0.      0.27    0.      0.     10.51   10.37    0.27
  10.37   10.37    0.      0.      0.      0.      0.    ]]; [0.]
150; [[ 0.2717 12.53    0.      0.27    0.      0.     10.51   10.37    0.27
  10.37   10.37    0.      0.      0.      0.      0.    ]]; [0.]
151; [[ 0.2717 12.53    0.      0.27    0.      0.     10.51   10.37    0.27
  10.37   10.37    0.      0.      0.      0.      0.    ]]; [0.]
152; [[ 0.2717 12.53    0.      0.27    0.      0.     10.51   10.37    0.27
  10.37   10.37    0.      0.      0.      0.      0.    ]]; [0.]
153; [[ 0.2717 12.53    0.      0.27    0.      0.     10.51   10.37    0.27
  10.37   10.37    0.      0.      0.      0.      0.    ]]; [0.]
154; [[ 0.2717 12.53    0.      0.27    0.      0.     10.51   10.37    0.27
  10.37   10.37    0.      0.      0.      0.      0.    ]]; [0.]
155; [[ 0.2717 12.53    0.      0.27    0.      0.     10.51   10.37    0.27
  10.37   10.37    0.      0.      0.      0.      0.    ]]; [0.]
156; [[ 0.2717 12.53    0.      0.27    0.      0.     10.51   10.37    0.27
  10.37   10.37    0.      0.      0.      0.      0.    ]]; [0.]
157; [[ 0.2717 12.53    0.      0.27    0.      0.     10.51   10.37    0.27
  10.37   10.37    0.      0.      0.      0.      0.    ]]; [0.]
158; [[ 0.2717 12.53    0.      0.27    0.      0.     10.51   10.37    0.27
  10.37   10.37    0.      0.      0.      0.      0.    ]]; [0.]
159; [[ 0.2717 12.53    0.      0.27    0.      0.     10.51   10.37    0.27
  10.37   10.37    0.      0.      0.      0.      0.    ]]; [0.]
160; [[ 0.2717 12.53    0.      0.27    0.      0.     10.51   10.37    0.27
  10.37   10.37    0.      0.      0.      0.      0.    ]]; [0.]
161; [[ 0.2717 12.53    0.      0.27    0.      0.     10.51   10.37    0.27
  10.37   10.37    0.      0.      0.      0.      0.    ]]; [0.]
162; [[ 0.2717 12.53    0.      0.27    0.      0.     10.51   10.37    0.27
  10.37   10.37    0.      0.      0.      0.      0.    ]]; [0.]
