Step; State; Reward
0; [[0.006405 0.       0.       0.       0.       0.       0.       0.
94; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
95; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
96; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
97; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
98; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
99; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
100; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
101; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
102; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
103; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
104; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  9.34   1.394  8.4
  9.34   0.     0.     1.179  7.79   0.    ]]; [0.]
105; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  5.5    1.116  4.633
  5.5    0.     0.     1.179  7.79   0.    ]]; [0.]
106; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  5.5    1.116  4.633
  5.5    0.     0.     1.179  7.79   0.    ]]; [0.]
107; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  5.5    1.116  4.633
  5.5    0.     0.     1.179  7.79   0.    ]]; [0.]
108; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  5.5    1.116  4.633
  5.5    0.     0.     1.179  7.79   0.    ]]; [0.]
109; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  5.5    1.116  4.633
  5.5    0.     0.     1.179  7.79   0.    ]]; [0.]
110; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  5.5    1.116  4.633
  5.5    0.     0.     1.179  7.79   0.    ]]; [0.]
111; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  5.5    1.116  4.633
  5.5    0.     0.     1.179  7.79   0.    ]]; [0.]
112; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  5.5    1.116  4.633
  5.5    0.     0.     1.179  7.79   0.    ]]; [0.]
113; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  5.5    1.116  4.633
  5.5    0.     0.     1.179  7.79   0.    ]]; [0.]
114; [[8.39   0.0902 0.     7.926  1.18   0.     7.867  5.5    1.116  4.633
