Step; State; Reward
  1.1836e+01 2.3703e+01 1.3102e+01 3.0136e-04 1.1859e+01 1.4305e-04
  1.4305e-04 1.1891e+01 1.4305e-04 1.4305e-04]]; [0.]
116; [[1.1891e+01 1.1594e+01 1.2836e+01 1.1891e+01 3.0136e-04 3.0136e-04
  1.1836e+01 2.3703e+01 1.3102e+01 3.0136e-04 1.1859e+01 1.4305e-04
  1.4305e-04 1.1891e+01 1.4305e-04 1.4305e-04]]; [0.]
117; [[1.1891e+01 1.1594e+01 1.2836e+01 1.1891e+01 3.0136e-04 3.0136e-04
  1.1836e+01 2.3703e+01 1.3102e+01 3.0136e-04 1.1859e+01 1.4305e-04
  1.4305e-04 1.1891e+01 1.4305e-04 1.4305e-04]]; [0.]
118; [[ 9.43   6.     6.492  9.32   0.     0.     4.957 13.17   8.836  0.
   8.195  0.     0.     8.11   0.     0.   ]]; [3527.4463]
119; [[9.5312e+00 1.0125e+01 7.6289e+00 9.5312e+00 1.1444e-04 1.1444e-04
  9.3281e+00 1.8125e+01 9.4766e+00 1.1444e-04 8.7969e+00 1.1444e-04
  1.1444e-04 8.7812e+00 1.1444e-04 1.1444e-04]]; [5246.647]
120; [[9.5312e+00 1.0125e+01 7.6289e+00 9.5312e+00 1.1444e-04 1.1444e-04
  9.3281e+00 1.8125e+01 9.4766e+00 1.1444e-04 8.7969e+00 1.1444e-04
  1.1444e-04 8.7812e+00 1.1444e-04 1.1444e-04]]; [0.]
121; [[9.5312e+00 1.0125e+01 7.6289e+00 9.5312e+00 1.1444e-04 1.1444e-04
  9.3281e+00 1.8125e+01 9.4766e+00 1.1444e-04 8.7969e+00 1.1444e-04
  1.1444e-04 8.7812e+00 1.1444e-04 1.1444e-04]]; [0.]
122; [[9.5312e+00 1.0125e+01 7.6289e+00 9.5312e+00 1.1444e-04 1.1444e-04
  9.3281e+00 1.8125e+01 9.4766e+00 1.1444e-04 8.7969e+00 1.1444e-04
  1.1444e-04 8.7812e+00 1.1444e-04 1.1444e-04]]; [0.]
123; [[11.9   13.516 17.73  11.91   0.     0.    11.66  23.52  12.49   0.
  11.87   0.     0.    11.914  0.     0.   ]]; [9209.647]
124; [[ 9.53  10.42   9.72   9.53   0.     0.     9.336 18.86  10.336  0.
   9.53   0.     0.     9.53   0.     0.   ]]; [5696.565]
125; [[ 9.53  10.42   9.72   9.53   0.     0.     9.336 18.86  10.336  0.
   9.53   0.     0.     9.53   0.     0.   ]]; [0.]
126; [[ 9.53  10.42   9.72   9.53   0.     0.     9.336 18.86  10.336  0.
   9.53   0.     0.     9.53   0.     0.   ]]; [0.]
127; [[ 9.53  10.42   9.72   9.53   0.     0.     9.336 18.86  10.336  0.
   9.53   0.     0.     9.53   0.     0.   ]]; [0.]
