snapshot,link_A_usage_rate,link_B_usage_rate,link_C_usage_rate,link_D_usage_rate,link_E_usage_rate,link_F_usage_rate
451,1109.4787239,0.0,1109.4780828,9.4e-06,0.0,1.0598771
452,1109.4787239,0.0,1109.4780828,9.4e-06,0.0,1.0598771
453,1109.4787239,0.0,1109.4780828,9.4e-06,0.0,1.0598771
454,1109.4787239,0.0,1109.4780828,9.4e-06,0.0,1.0598771
455,1109.4787239,0.0,1109.4780828,9.4e-06,0.0,1.0598771
456,1109.4787239,0.0,1109.4780828,9.4e-06,0.0,1.0598771
457,1109.4787239,0.0,1109.4780828,9.4e-06,0.0,1.0598771
458,1109.4787239,0.0,1109.4780828,9.4e-06,0.0,1.0598771
459,1109.4787239,0.0,1109.4780828,9.4e-06,0.0,1.0598771
460,1312.3551941,0.0,1312.3545611,6e-06,0.0,0.347352
461,1312.3551941,0.0,1312.3545611,6e-06,0.0,0.347352
462,1312.3551941,0.0,1312.3545611,6e-06,0.0,0.347352
463,1312.3551941,0.0,1312.3545611,6e-06,0.0,0.347352
464,1312.3551941,0.0,1312.3545611,6e-06,0.0,0.347352
465,1312.3551941,0.0,1312.3545611,6e-06,0.0,0.347352
466,1312.3551941,0.0,1312.3545611,6e-06,0.0,0.347352
467,1312.3551941,0.0,1312.3545611,6e-06,0.0,0.347352
468,1312.3551941,0.0,1312.3545611,6e-06,0.0,0.347352
469,1312.3551941,0.0,1312.3545611,6e-06,0.0,0.347352
470,1278.1285894,0.0,1278.1207021,0.0,0.0,0.3376548
471,1278.1285894,0.0,1278.1207021,0.0,0.0,0.3376548
472,1278.1285894,0.0,1278.1207021,0.0,0.0,0.3376548
473,1278.1285894,0.0,1278.1207021,0.0,0.0,0.3376548
474,1278.1285894,0.0,1278.1207021,0.0,0.0,0.3376548
475,1278.1285894,0.0,1278.1207021,0.0,0.0,0.3376548
476,1278.1285894,0.0,1278.1207021,0.0,0.0,0.3376548
477,1278.1285894,0.0,1278.1207021,0.0,0.0,0.3376548
478,1278.1285894,0.0,1278.1207021,0.0,0.0,0.3376548
479,1278.1285894,0.0,1278.1207021,0.0,0.0,0.3376548
480,1220.1348462,0.0,1220.6195096,6e-06,0.0,0.3224243
481,1220.1348462,0.0,1220.6195096,6e-06,0.0,0.3224243
482,1220.1348462,0.0,1220.6195096,6e-06,0.0,0.3224243
483,1220.1348462,0.0,1220.6195096,6e-06,0.0,0.3224243
484,1220.1348462,0.0,1220.6195096,6e-06,0.0,0.3224243
485,1220.1348462,0.0,1220.6195096,6e-06,0.0,0.3224243
486,1220.1348462,0.0,1220.6195096,6e-06,0.0,0.3224243
487,1220.1348462,0.0,1220.6195096,6e-06,0.0,0.3224243
488,1220.1348462,0.0,1220.6195096,6e-06,0.0,0.3224243
489,1220.1348462,0.0,1220.6195096,6e-06,0.0,0.3224243
490,1067.0067259,0.0,1066.5217127,6e-06,0.0,1.2278427
491,1067.0067259,0.0,1066.5217127,6e-06,0.0,1.2278427
492,1067.0067259,0.0,1066.5217127,6e-06,0.0,1.2278427
493,1067.0067259,0.0,1066.5217127,6e-06,0.0,1.2278427
494,1067.0067259,0.0,1066.5217127,6e-06,0.0,1.2278427
495,1067.0067259,0.0,1066.5217127,6e-06,0.0,1.2278427
496,1067.0067259,0.0,1066.5217127,6e-06,0.0,1.2278427
497,1067.0067259,0.0,1066.5217127,6e-06,0.0,1.2278427
498,1067.0067259,0.0,1066.5217127,6e-06,0.0,1.2278427
499,1067.0067259,0.0,1066.5217127,6e-06,0.0,1.2278427
500,1077.6885949,0.0,1077.6878888,0.0,0.0,0.7646826
501,1077.6885949,0.0,1077.6878888,0.0,0.0,0.7646826
502,1077.6885949,0.0,1077.6878888,0.0,0.0,0.7646826
503,1077.6885949,0.0,1077.6878888,0.0,0.0,0.7646826
504,1077.6885949,0.0,1077.6878888,0.0,0.0,0.7646826
505,1077.6885949,0.0,1077.6878888,0.0,0.0,0.7646826
506,1077.6885949,0.0,1077.6878888,0.0,0.0,0.7646826
507,1077.6885949,0.0,1077.6878888,0.0,0.0,0.7646826
508,1077.6885949,0.0,1077.6878888,0.0,0.0,0.7646826
509,1241.3735143,0.0,1241.365181,6e-06,0.0,0.3278858
510,1241.3735143,0.0,1241.365181,6e-06,0.0,0.3278858
511,1241.3735143,0.0,1241.365181,6e-06,0.0,0.3278858
512,1241.3735143,0.0,1241.365181,6e-06,0.0,0.3278858
513,1241.3735143,0.0,1241.365181,6e-06,0.0,0.3278858
514,1241.3735143,0.0,1241.365181,6e-06,0.0,0.3278858
515,1241.3735143,0.0,1241.365181,6e-06,0.0,0.3278858
516,1241.3735143,0.0,1241.365181,6e-06,0.0,0.3278858
517,1241.3735143,0.0,1241.365181,6e-06,0.0,0.3278858
