Step; State; Reward
89; [[9.3671875, 1.1875, 10.7109375, 9.4140625, 0.00011444091796875, 0.00011444091796875, 3.380859375, 12.4296875, 9.5703125, 0.00011444091796875, 9.0234375, 0.00011444091796875, 0.00011444091796875, 9.1015625, 0.00011444091796875, 0.00011444091796875]]; [0.]
90; [[11.8671875, 12.4375, 11.3046875, 11.8671875, 0.0, 0.0, 10.921875, 22.71875, 13.0625, 0.0, 11.828125, 0.0, 0.0, 11.8046875, 0.0, 0.0]]; [5512.4873]
91; [[9.484375, 11.6328125, 7.48828125, 9.484375, 0.00011444091796875, 0.00011444091796875, 9.4609375, 18.875, 10.2421875, 0.000240325927734375, 9.46875, 0.00011444091796875, 0.00011444091796875, 9.421875, 0.00011444091796875, 0.00011444091796875]]; [3739.7468]
92; [[9.1953125, 12.453125, 7.34765625, 9.1015625, 0.0, 0.0, 9.4609375, 16.90625, 8.265625, 0.0, 7.46484375, 0.0, 0.0, 7.47265625, 0.0, 0.0]]; [3083.9092]
93; [[9.1953125, 12.453125, 7.34765625, 9.1015625, 0.0, 0.0, 9.4609375, 16.90625, 8.265625, 0.0, 7.46484375, 0.0, 0.0, 7.47265625, 0.0, 0.0]]; [0.]
94; [[9.5, 0.07403564453125, 11.2421875, 9.53125, 0.00011444091796875, 0.00011444091796875, 0.07403564453125, 9.5703125, 9.953125, 0.00011444091796875, 9.4921875, 0.00011444091796875, 0.00011444091796875, 9.515625, 0.00011444091796875, 0.00011444091796875]]; [1402.5433]
95; [[9.5, 0.07403564453125, 11.2421875, 9.53125, 0.00011444091796875, 0.00011444091796875, 0.07403564453125, 9.5703125, 9.953125, 0.00011444091796875, 9.4921875, 0.00011444091796875, 0.00011444091796875, 9.515625, 0.00011444091796875, 0.00011444091796875]]; [0.]
96; [[9.4453125, 0.265625, 12.8046875, 9.4453125, 0.0, 0.0, 0.265625, 9.703125, 9.65625, 0.0, 9.4375, 0.0, 0.0, 9.453125, 0.0, 0.0]]; [1444.5327]
97; [[9.328125, 0.00011444091796875, 11.3046875, 9.3828125, 0.00011444091796875, 0.00011444091796875, 0.00011444091796875, 9.3984375, 9.9765625, 0.00011444091796875, 9.3984375, 0.00011444091796875, 0.00011444091796875, 9.3984375, 0.00011444091796875, 0.00011444091796875]]; [1365.7784]
98; [[11.765625, 0.0, 6.8203125, 11.5234375, 0.0, 0.0, 0.0, 9.9921875, 10.53125, 0.0, 9.9921875, 0.0, 0.0, 9.734375, 0.0, 0.0]]; [1496.4762]
99; [[11.765625, 0.0, 6.8203125, 11.5234375, 0.0, 0.0, 0.0, 9.9921875, 10.53125, 0.0, 9.9921875, 0.0, 0.0, 9.734375, 0.0, 0.0]]; [0.]
100; [[11.765625, 0.0, 6.8203125, 11.5234375, 0.0, 0.0, 0.0, 9.9921875, 10.53125, 0.0, 9.9921875, 0.0, 0.0, 9.734375, 0.0, 0.0]]; [0.]
101; [[9.5078125, 0.325927734375, 10.6640625, 9.5078125, 0.00011444091796875, 0.00011444091796875, 0.325927734375, 9.828125, 9.84375, 0.004734039306640625, 9.5078125, 0.00011444091796875, 0.00011444091796875, 9.5078125, 0.00011444091796875, 0.00011444091796875]]; [1431.8486]
102; [[9.5078125, 3.359375, 12.5859375, 9.5234375, 0.0, 0.0, 3.224609375, 12.6796875, 10.0, 0.0, 9.4609375, 0.0, 0.0, 9.5078125, 0.0, 0.0]]; [2113.8376]
103; [[9.515625, 11.921875, 7.83203125, 9.5078125, 0.0, 0.0, 9.0546875, 18.421875, 10.6015625, 0.0, 9.4609375, 0.0, 0.0, 9.4453125, 0.0, 0.0]]; [3657.957]
104; [[2.392578125, 10.1484375, 1.69140625, 2.365234375, 0.0, 0.0, 9.46875, 11.1328125, 2.185546875, 0.0, 1.728515625, 0.0, 0.0, 1.7021484375, 0.0, 0.0]]; [1031.4615]
105; [[2.392578125, 10.1484375, 1.69140625, 2.365234375, 0.0, 0.0, 9.46875, 11.1328125, 2.185546875, 0.0, 1.728515625, 0.0, 0.0, 1.7021484375, 0.0, 0.0]]; [0.]
106; [[2.392578125, 10.1484375, 1.69140625, 2.365234375, 0.0, 0.0, 9.46875, 11.1328125, 2.185546875, 0.0, 1.728515625, 0.0, 0.0, 1.7021484375, 0.0, 0.0]]; [0.]
107; [[2.392578125, 10.1484375, 1.69140625, 2.365234375, 0.0, 0.0, 9.46875, 11.1328125, 2.185546875, 0.0, 1.728515625, 0.0, 0.0, 1.7021484375, 0.0, 0.0]]; [0.]
108; [[0.20556640625, 9.78125, 0.0, 0.20556640625, 0.0, 0.0, 9.515625, 9.515625, 0.20556640625, 0.0023097991943359375, 0.0023097991943359375, 0.0, 0.0, 0.0, 0.0, 0.0]]; [671.952]
109; [[0.24609375, 11.3203125, 0.0, 0.2459716796875, 0.0, 0.0, 9.5078125, 9.484375, 0.245849609375, 9.109375, 9.109375, 0.0, 0.0, 0.0, 0.0, 0.0]]; [1024.3943]
110; [[5.03515625, 3.8828125, 6.1953125, 5.0703125, 0.0, 0.0, 6.7265625, 11.6328125, 5.5078125, 6.8203125, 11.609375, 0.0, 0.0, 4.8515625, 0.0, 0.0]]; [1635.6165]
111; [[9.53125, 0.0947265625, 7.9140625, 9.53125, 0.0, 0.0, 0.0947265625, 9.625, 9.984375, 0.0, 9.53125, 0.0, 0.0, 9.53125, 0.0, 0.0]]; [1350.2992]
112; [[9.234375, 0.53125, 10.25, 9.1796875, 0.0, 0.0, 0.52880859375, 8.609375, 8.5703125, 0.0, 8.0703125, 0.0, 0.0, 8.0234375, 0.0, 0.0]]; [1143.4053]
113; [[11.71875, 0.58935546875, 11.7421875, 11.84375, 0.0001430511474609375, 0.0001430511474609375, 0.59228515625, 12.4140625, 12.109375, 0.0001430511474609375, 11.8203125, 0.0001430511474609375, 0.0001430511474609375, 11.875, 0.0001430511474609375, 0.0001430511474609375]]; [2184.9087]
114; [[11.8984375, 0.1300048828125, 12.203125, 11.8984375, 0.0, 0.0, 0.1300048828125, 12.03125, 12.2734375, 0.002887725830078125, 11.90625, 0.0, 0.0, 11.90625, 0.0, 0.0]]; [2132.9253]
115; [[9.4453125, 0.057861328125, 7.75390625, 9.515625, 0.00011444091796875, 0.00011444091796875, 0.057861328125, 9.5703125, 10.1015625, 0.00011444091796875, 9.5078125, 0.00011444091796875, 0.00011444091796875, 9.5078125, 0.00011444091796875, 0.00011444091796875]]; [1337.3806]
116; [[9.4453125, 0.057861328125, 7.75390625, 9.515625, 0.00011444091796875, 0.00011444091796875, 0.057861328125, 9.5703125, 10.1015625, 0.00011444091796875, 9.5078125, 0.00011444091796875, 0.00011444091796875, 9.5078125, 0.00011444091796875, 0.00011444091796875]]; [0.]
117; [[11.8203125, 0.2454833984375, 10.359375, 11.859375, 0.0, 0.0, 0.2454833984375, 12.0859375, 12.3359375, 0.0, 11.84375, 0.0, 0.0, 11.8359375, 0.0, 0.0]]; [2094.5935]
118; [[9.515625, 0.0787353515625, 6.703125, 9.53125, 0.00011444091796875, 0.00011444091796875, 0.0787353515625, 8.9375, 9.4140625, 0.00017833709716796875, 8.859375, 0.00011444091796875, 0.00011444091796875, 8.796875, 0.00011444091796875, 0.00011444091796875]]; [1184.51]
